fan_control 2025-11-12 23:14:07 - Starte Soft-Lüftersteuerung
fan_control 2025-11-12 23:14:07 - === DELL_SMM_HWMON DIAGNOSE ===
fan_control 2025-11-12 23:14:07 - INFO: dell_smm_hwmon-Modul geladen
fan_control 2025-11-12 23:14:07 - INFO: Verfügbare Dateien: 
fan_control 2025-11-12 23:14:07 - BEGRENZT: Nur Temperatursensoren - EC blockierte Lüfter
fan_control 2025-11-12 23:14:07 - === ENDE DER DIAGNOSE ===
fan_control 2025-11-12 23:14:07 - ERFOLG: PWM-Steuerung ab Start verfügbar
fan_control 2025-11-12 23:14:07 - Verwende temporäre Datei: /sys/devices/platform/coretemp.0/hwmon/hwmon2/temp1_input
fan_control 2025-11-12 23:14:07 - Verwende PWM-Datei: /sys/devices/platform/dell_smm_hwmon/hwmon/hwmon3/pwm1
fan_control 2025-11-12 23:14:48 - Starte Soft-Lüftersteuerung
fan_control 2025-11-12 23:14:48 - === DELL_SMM_HWMON DIAGNOSE ===
fan_control 2025-11-12 23:14:48 - INFO: dell_smm_hwmon-Modul geladen
fan_control 2025-11-12 23:14:48 - INFO: Verfügbare Dateien: 
fan_control 2025-11-12 23:14:48 - BEGRENZT: Nur Temperatursensoren - EC blockierte Lüfter
fan_control 2025-11-12 23:14:48 - === ENDE DER DIAGNOSE ===
fan_control 2025-11-12 23:14:48 - ERFOLG: PWM-Steuerung ab Start verfügbar
fan_control 2025-11-12 23:14:48 - Verwende temporäre Datei: /sys/devices/platform/coretemp.0/hwmon/hwmon2/temp1_input
fan_control 2025-11-12 23:14:48 - Verwende PWM-Datei: /sys/devices/platform/dell_smm_hwmon/hwmon/hwmon3/pwm1
fan_control 2025-11-12 23:18:41 - Temp: 51°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:18:43 - Temp: 44°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:18:45 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:18:47 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:18:49 - Temp: 43°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:18:51 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:18:53 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:18:55 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:18:57 - Temp: 43°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:18:59 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:19:01 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:19:03 - Temp: 44°C (Δ+2°C), PWM: 110
fan_control 2025-11-12 23:19:05 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:19:07 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:19:09 - Temp: 43°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:19:11 - Temp: 44°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:19:13 - Temp: 49°C (Δ+5°C), PWM: 255
fan_control 2025-11-12 23:19:15 - Temp: 48°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:19:17 - Temp: 49°C (Δ+1°C), PWM: 255
fan_control 2025-11-12 23:19:19 - Temp: 50°C (Δ+1°C), PWM: 255
fan_control 2025-11-12 23:19:21 - Temp: 50°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:19:23 - Temp: 50°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:19:25 - Temp: 51°C (Δ+1°C), PWM: 255
fan_control 2025-11-12 23:19:27 - Temp: 52°C (Δ+1°C), PWM: 255
fan_control 2025-11-12 23:19:29 - Temp: 50°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:19:31 - Abbruchsignal empfangen, Lüfter wieder auf Automatikbetrieb
fan_control 2025-11-12 23:19:32 - Starte Soft-Lüftersteuerung
fan_control 2025-11-12 23:19:32 - === DELL_SMM_HWMON DIAGNOSE ===
fan_control 2025-11-12 23:19:32 - INFO: dell_smm_hwmon-Modul geladen
fan_control 2025-11-12 23:19:32 - INFO: Verfügbare Dateien: 
fan_control 2025-11-12 23:19:32 - BEGRENZT: Nur Temperatursensoren - EC blockierte Lüfter
fan_control 2025-11-12 23:19:32 - === ENDE DER DIAGNOSE ===
fan_control 2025-11-12 23:19:32 - ERFOLG: PWM-Steuerung ab Start verfügbar
fan_control 2025-11-12 23:19:32 - Verwende temporäre Datei: /sys/devices/platform/coretemp.0/hwmon/hwmon2/temp1_input
fan_control 2025-11-12 23:19:32 - Verwende PWM-Datei: /sys/devices/platform/dell_smm_hwmon/hwmon/hwmon3/pwm1
fan_control 2025-11-12 23:19:32 - Temp: 50°C (Δ+50°C), PWM: 120
fan_control 2025-11-12 23:19:34 - Temp: 50°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:19:36 - Temp: 44°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:19:38 - Temp: 44°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:19:40 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:19:42 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:19:44 - Temp: 43°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:19:46 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:19:48 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:19:50 - Temp: 44°C (Δ+2°C), PWM: 110
fan_control 2025-11-12 23:19:52 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:19:54 - Temp: 43°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:19:56 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:19:58 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:20:00 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:20:02 - Temp: 43°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:20:04 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:20:06 - Temp: 52°C (Δ+9°C), PWM: 120
fan_control 2025-11-12 23:20:08 - Temp: 49°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:20:10 - Temp: 49°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:20:12 - Temp: 48°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:20:14 - Temp: 52°C (Δ+4°C), PWM: 120
fan_control 2025-11-12 23:20:16 - Temp: 47°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:20:18 - Temp: 52°C (Δ+5°C), PWM: 120
fan_control 2025-11-12 23:20:20 - Temp: 51°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:20:22 - Temp: 49°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:20:24 - Temp: 49°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:20:26 - Temp: 52°C (Δ+3°C), PWM: 120
fan_control 2025-11-12 23:20:28 - Temp: 44°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:20:30 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:20:32 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:20:34 - Temp: 44°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:20:36 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:20:38 - Temp: 44°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:20:40 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:20:42 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:20:44 - Temp: 43°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:20:46 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:20:48 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:20:50 - Temp: 43°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:20:52 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:20:54 - Temp: 43°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:20:56 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:20:58 - Temp: 52°C (Δ+10°C), PWM: 120
fan_control 2025-11-12 23:21:00 - Temp: 51°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:21:02 - Temp: 48°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:21:04 - Temp: 51°C (Δ+3°C), PWM: 120
fan_control 2025-11-12 23:21:06 - Temp: 49°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:21:08 - Temp: 49°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:21:10 - Temp: 50°C (Δ+1°C), PWM: 120
fan_control 2025-11-12 23:21:12 - Temp: 50°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:21:14 - Temp: 52°C (Δ+2°C), PWM: 120
fan_control 2025-11-12 23:21:16 - Temp: 49°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:21:18 - Temp: 48°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:21:20 - Temp: 45°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:21:22 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:21:24 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:21:26 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:21:28 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:21:30 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:21:32 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:21:34 - Temp: 43°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:21:36 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:21:38 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:21:40 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:21:42 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:21:44 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:21:46 - Temp: 43°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:21:48 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:21:50 - Temp: 48°C (Δ+5°C), PWM: 120
fan_control 2025-11-12 23:21:52 - Temp: 49°C (Δ+1°C), PWM: 120
fan_control 2025-11-12 23:21:54 - Temp: 49°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:21:56 - Temp: 51°C (Δ+2°C), PWM: 120
fan_control 2025-11-12 23:21:58 - Temp: 50°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:22:00 - Temp: 50°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:22:02 - Temp: 51°C (Δ+1°C), PWM: 120
fan_control 2025-11-12 23:22:04 - Temp: 49°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:22:06 - Temp: 53°C (Δ+4°C), PWM: 120
fan_control 2025-11-12 23:22:08 - Temp: 49°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:22:10 - Temp: 49°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:22:12 - Temp: 51°C (Δ+2°C), PWM: 120
fan_control 2025-11-12 23:22:14 - Temp: 44°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:22:16 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:22:18 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:22:20 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:22:22 - Temp: 43°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:22:24 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:22:26 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:22:28 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:22:30 - Temp: 44°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:22:32 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:22:34 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:22:36 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:22:38 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:22:40 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:22:42 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:22:44 - Temp: 51°C (Δ+9°C), PWM: 120
fan_control 2025-11-12 23:22:46 - Temp: 49°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:22:48 - Temp: 49°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:22:50 - Temp: 50°C (Δ+1°C), PWM: 120
fan_control 2025-11-12 23:22:52 - Temp: 49°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:22:54 - Temp: 49°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:22:56 - Temp: 49°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:22:58 - Temp: 52°C (Δ+3°C), PWM: 120
fan_control 2025-11-12 23:23:00 - Temp: 49°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:23:02 - Temp: 49°C (Δ+0°C), PWM: 120
fan_control 2025-11-12 23:23:04 - Temp: 50°C (Δ+1°C), PWM: 120
fan_control 2025-11-12 23:23:06 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:23:08 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:23:10 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:23:12 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:23:14 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:23:16 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:23:18 - Temp: 43°C (Δ+0°C), PWM: 110
